,HFC
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-1.2520661157024793
Growth 1yr High Est,-0.09284332688588004
Growth 1yr Consensus Est,-0.6724547212941796
Growth 2yr Low Est,-1.093246172605338
Growth 2yr High Est,-0.05601654617215118
Growth 2yr Consensus Est,-0.5746313593887445
Growth 5yr Low Est,-0.24411167077755483
Growth 5yr High Est,0.2288544720119636
Growth 5yr Consensus Est,-0.007628599382795601
Growth 5yr Actual/Est,0.9202940196568383
Growth 3yr Historic,0.3841829085457273
