,XLNX
Price/Earnings (TTM),27.86627
Price/Sales (TTM),6.83409
Price/Book (MRQ),9.33628
Price/Cash Flow (TTM),22.90064
5yr Low,38.7
5yr High,141.6
5yr Avg Return,0.13171666666666665
EPS Growth 5yr,0.0578205
Revenue Growth 5yr,0.0587472
Dividend Growth 5yr,0.049931
Short Int Current Month,5057703.0
Short Int Prev Month,5659268.0
Short Int Pct of Float,0.0203627
Days to Cover,2.12295
Float,248.3843
Shares Outstanding,248.8366
Institutions Holding Shares,1084.0
% Held by Institutions,0.8110120000000001
FCF Growth 5yr,0.06361296662790447
