,XLNX
% Above Low,0.2834
% Held by Institutions,0.8109999999999999
52-Wk Range,['67.68 - 133.00']
Annual Dividend $,1.52
Annual Dividend %,0.018000000000000002
Ask,87.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.0
Bid,86.86
Bid Size,400.0
Closing Price,86.86
Day Change $,2.43
Day Change %,0.0288
Day High,86.93
Day Low,85.21
Dividend Pay Date,2020-06-03 00:00:00
"EPS (TTM, GAAP)",3.12
Ex-dividend,2020-05-12 00:00:00
Ex-dividend Date,05/12/20
Historical Volatility,0.461
Last (size),25.0
Last (time),3:59p ET 05/08/20
Market Cap,21.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.87
Prev Close,84.43
Shares Outstanding,248.8M
Short Interest,0.0204
Today's Open,85.3
Volume,1783593.0
Volume 10-day Avg,2935681.0
Volume Past Day,(Light)
