,ADS
Price/Earnings (TTM),5.6507
Price/Sales (TTM),0.38499
Price/Book (MRQ),1.99117
Price/Cash Flow (TTM),3.68362
5yr Low,20.51
5yr High,307.78
5yr Avg Return,-0.2303333333333333
EPS Growth 5yr,0.0586709
Revenue Growth 5yr,0.0102846
Dividend Growth 5yr,
Short Int Current Month,2990090.0
Short Int Prev Month,2868023.0
Short Int Pct of Float,0.0650236
Days to Cover,1.56955
Float,46.03426
Shares Outstanding,47.62796
Institutions Holding Shares,630.0
% Held by Institutions,0.958796
FCF Growth 5yr,0.0003999591308203376
