,AIZ
% Above Low,0.2954
% Held by Institutions,0.9539
52-Wk Range,['76.27 - 142.61']
Annual Dividend $,2.52
Annual Dividend %,0.0256
Ask,105.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.6
Bid,98.8
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,98.8
Day Change $,0.21
Day Change %,0.0021
Day High,101.42
Day Low,97.89
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",5.52
Ex-dividend,2020-02-21 00:00:00
Ex-dividend Date,02/21/20
Historical Volatility,0.44
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,5.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",17.87
Prev Close,98.59
Shares Outstanding,59.7M
Short Interest,0.0345
Today's Open,100.93
Volume,521929.0
Volume 10-day Avg,506390.0
Volume Past Day,(Average)
