,AIZ
Price/Earnings (TTM),17.86773
Price/Sales (TTM),0.57716
Price/Book (MRQ),1.10057
Price/Cash Flow (TTM),19.64044
5yr Low,63.96
5yr High,142.61
5yr Avg Return,0.10318333333333334
EPS Growth 5yr,-0.0192954
Revenue Growth 5yr,-0.0056952
Dividend Growth 5yr,0.1804839
Short Int Current Month,2093538.0
Short Int Prev Month,2093800.0
Short Int Pct of Float,0.0344532
Days to Cover,5.52659
Float,59.19965
Shares Outstanding,59.82375
Institutions Holding Shares,591.0
% Held by Institutions,0.953877
FCF Growth 5yr,3.0743519854998937
