,ABC
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.09957325746799428
Growth 1yr High Est,0.0807799442896937
Growth 1yr Consensus Est,-0.009396656589150287
Growth 2yr Low Est,0.05684844235605019
Growth 2yr High Est,0.09580234327886739
Growth 2yr Consensus Est,0.07632539281745879
Growth 5yr Low Est,0.07654586697408952
Growth 5yr High Est,0.09947910654636932
Growth 5yr Consensus Est,0.08801248676022942
Growth 5yr Actual/Est,0.0859187505927338
Growth 3yr Historic,0.049047854889259224
