,ABC
% Below High,0.0965
% Held by Institutions,0.657
52-Wk Range,['72.06 - 97.50']
Annual Dividend $,1.68
Annual Dividend %,0.0189
Ask,90.4
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.6
Bid,88.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,88.09
Day Change $,-0.65
Day Change %,-0.0073
Day High,92.4
Day Low,87.09
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",7.59
Ex-dividend,2020-05-15 00:00:00
Ex-dividend Date,05/15/20
Historical Volatility,0.41200000000000003
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,18.1B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",11.69
Prev Close,88.74
Shares Outstanding,205.9M
Short Interest,0.0286
Today's Open,90.54
Volume,1175562.0
Volume 10-day Avg,1520230.0
Volume Past Day,(Light)
