,ABC
Price/Earnings (TTM),11.6889
Price/Sales (TTM),0.09815
Price/Book (MRQ),4.93125
Price/Cash Flow (TTM),9.06202
5yr Low,68.38
5yr High,115.85
5yr Avg Return,-0.029433333333333332
EPS Growth 5yr,0.26406810000000003
Revenue Growth 5yr,0.0847563
Dividend Growth 5yr,0.11223979999999999
Short Int Current Month,4256753.0
Short Int Prev Month,4019793.0
Short Int Pct of Float,0.0286316
Days to Cover,2.9494
Float,148.6923
Shares Outstanding,205.8918
Institutions Holding Shares,977.0
% Held by Institutions,0.657016
FCF Growth 5yr,0.009114226582805519
