,DD
Price/Earnings (TTM),
Price/Sales (TTM),1.54063
Price/Book (MRQ),0.83044
Price/Cash Flow (TTM),29.96785
5yr Low,28.33
5yr High,231.24
5yr Avg Return,-0.263125
Short Int Current Month,18955009.0
Short Int Prev Month,15777959.0
Short Int Pct of Float,0.0257068
Days to Cover,2.98743
Float,731.8806
Shares Outstanding,733.7972
Institutions Holding Shares,1620.0
% Held by Institutions,0.720314
FCF Growth 5yr,-2.1604455446843054
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
