,DD
% Above Low,0.6565000000000001
% Held by Institutions,0.7203
52-Wk Range,['28.33 - 77.03']
Annual Dividend $,1.2
Annual Dividend %,0.0268
Ask,47.16
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,46.95
Bid Size,100.0
Change Since Close,0.01| |(0.02%)
Closing Price,46.93
Day Change $,2.17
Day Change %,0.048499999999999995
Day High,47.05
Day Low,45.04
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",-1.67
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.6509999999999999
Last (size),14.0
Last (time),6:30p ET 05/08/20
Last Trade,46.94
Market Cap,34.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,44.76
Shares Outstanding,733.8M
Short Interest,0.025699999999999997
Today's Open,45.29
Volume,4776730.0
Volume 10-day Avg,6262591.0
Volume Past Day,(Light)
