,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Neutral,10.08,,,2.35,,3.65,,3.0,10.08,,
Year ending 12/2018,Negative Surprise,4.05,,-0.5982142857142858,,0.0,,0.0,12.31,4.05,-0.5982142857142858,0.0
Year ending 12/2019,Neutral,3.8,,-0.06172839506172845,3.75,0.5957446808510638,3.88,0.06301369863013706,3.815,3.8,-0.06172839506172845,0.32937918974060043
Year ending 12/2020,Neutral,,2.95,0.0,2.32,-0.3813333333333334,3.8,-0.020618556701030966,2.95,2.95,-0.2236842105263157,-0.2009759450171822
Year ending 12/2021,Neutral,,3.43,0.0,1.95,-0.1594827586206896,4.29,0.1289473684210527,3.43,3.43,0.16271186440677954,-0.015267695099818457
