,DD
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.3813333333333334
Growth 1yr High Est,-0.020618556701030966
Growth 1yr Consensus Est,-0.2009759450171822
Growth 2yr Low Est,-0.2704080459770115
Growth 2yr High Est,0.05416440586001087
Growth 2yr Consensus Est,-0.10812182005850032
Growth 5yr Low Est,0.013732147224260194
Growth 5yr High Est,0.0428356275875397
Growth 5yr Consensus Est,0.028283887405899946
Growth 5yr Actual/Est,-0.1802287567238876
Growth 3yr Historic,-0.16498567019400356
