,PVH
% Above Low,0.6204
% Held by Institutions,1.0587
52-Wk Range,['28.40 - 123.41']
Annual Dividend $,
Annual Dividend %,
Ask,50.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.1
Bid,43.0
Bid Size,100.0
Closing Price,46.02
Day Change $,3.08
Day Change %,0.0717
Day High,46.1
Day Low,43.77
Dividend Pay Date,03/31/20
"EPS (TTM, GAAP)",5.55
Ex-dividend Date,03/19/20
Historical Volatility,0.7640000000000001
Last (size),43.0
Last (time),6:30p ET 05/08/20
Market Cap,3.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.29
Prev Close,42.94
Shares Outstanding,70.9M
Short Interest,0.0524
Today's Open,44.59
Volume,1291112.0
Volume 10-day Avg,1978046.0
Volume Past Day,(Light)
