,XEL
% Below High,0.16399999999999998
% Held by Institutions,0.7905
52-Wk Range,['46.58 - 72.14']
Annual Dividend $,1.72
Annual Dividend %,0.0287
Ask,61.39
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,0.3
Bid,60.26
Bid Size,600.0
Closing Price,60.31
Day Change $,0.35
Day Change %,0.0058
Day High,60.97
Day Low,59.88
Dividend Pay Date,2020-04-20 00:00:00
"EPS (TTM, GAAP)",2.59
Ex-dividend,2020-03-12 00:00:00
Ex-dividend Date,03/12/20
Historical Volatility,0.371
Last (size),1.0
Last (time),4:15p ET 05/08/20
Market Cap,31.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",23.32
Prev Close,59.96
Shares Outstanding,525.2M
Short Interest,0.015600000000000001
Today's Open,60.73
Volume,2528984.0
Volume 10-day Avg,3538742.0
Volume Past Day,(Light)
