,XEL
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.02316602316602312
Growth 1yr High Est,0.05263157894736836
Growth 1yr Consensus Est,0.03789880105669574
Growth 2yr Low Est,0.06252640780942664
Growth 2yr High Est,0.06381578947368416
Growth 2yr Consensus Est,0.0631710986415554
Growth 5yr Low Est,0.061854544037116266
Growth 5yr High Est,0.06729513334645298
Growth 5yr Consensus Est,0.06457483869178463
Growth 5yr Actual/Est,0.0651923143599345
Growth 3yr Historic,0.03568473860235877
