,K
% Below High,0.10369999999999999
% Held by Institutions,0.8106
52-Wk Range,['51.34 - 71.05']
Annual Dividend $,2.28
Annual Dividend %,0.0364
Ask,65.5
Ask Size,200.0
B/A Ratio,5.5
B/A Size,1100x200
Beta,0.6
Bid,63.0
Bid Size,1100.0
Closing Price,63.68
Day Change $,0.99
Day Change %,0.0158
Day High,63.83
Day Low,62.76
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",2.99
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.326
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,21.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.93
Prev Close,62.69
Shares Outstanding,342.7M
Short Interest,0.0286
Today's Open,63.21
Volume,1362830.0
Volume 10-day Avg,2026720.0
Volume Past Day,(Light)
