,K
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.0
Growth 1yr High Est,-0.012722646310432628
Growth 1yr Consensus Est,-0.006361323155216314
Growth 2yr Low Est,0.0013477088948787852
Growth 2yr High Est,0.019411872721072365
Growth 2yr Consensus Est,0.010379790807975575
Growth 5yr Low Est,-0.01578762037018941
Growth 5yr High Est,0.00016654547203884262
Growth 5yr Consensus Est,-0.007810537449075283
Growth 5yr Actual/Est,-0.006833606283710991
Growth 3yr Historic,-0.004571776461710836
