,K,Rating Since
newConstructs,2,2020-05-08
researchTeam,accumulate,2020-05-07
cfra,4,2020-05-07
theStreet,buy,2019-08-13
ford,1,2020-04-17
creditSuisse,outperform,2020-01-07
marketEdge opinion,long,2020-05-01
marketEdge,-1,2020-05-01
