,INTC
Price/Earnings (TTM),11.44986
Price/Sales (TTM),3.30806
Price/Book (MRQ),3.28111
Price/Cash Flow (TTM),7.37144
5yr Low,24.87
5yr High,69.29
5yr Avg Return,0.11503333333333332
EPS Growth 5yr,0.15243679999999998
Revenue Growth 5yr,0.051934100000000004
Dividend Growth 5yr,0.0696104
Short Int Current Month,41348018.0
Short Int Prev Month,42348745.0
Short Int Pct of Float,0.0096655
Days to Cover,1.52638
Float,4231.641
Shares Outstanding,4234.0
Institutions Holding Shares,3196.0
% Held by Institutions,0.663674
FCF Growth 5yr,0.09367839654273462
