,INTC
% Below High,0.1388
% Held by Institutions,0.6637000000000001
52-Wk Range,['42.86 - 69.29']
Annual Dividend $,1.32
Annual Dividend %,0.0223
Ask,59.74
Ask Size,2200.0
B/A Ratio,0.045454545454545456
B/A Size,100x2200
Beta,0.8
Bid,59.72
Bid Size,100.0
Closing Price,59.67
Day Change $,0.5
Day Change %,0.0085
Day High,59.78
Day Low,59.05
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",5.17
Ex-dividend,2020-05-06 00:00:00
Ex-dividend Date,05/06/20
Historical Volatility,0.489
Last (size),200.0
Last (time),4:15p ET 05/08/20
Market Cap,252.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.45
Prev Close,59.17
Shares Outstanding,4.2B
Short Interest,0.0097
Today's Open,59.67
Volume,20391091.0
Volume 10-day Avg,24723738.0
Volume Past Day,(Below Average)
