,TROW
Price/Earnings (TTM),14.21188
Price/Sales (TTM),4.51127
Price/Book (MRQ),4.04165
Price/Cash Flow (TTM),12.62058
5yr Low,62.97
5yr High,139.82
5yr Avg Return,0.08209999999999999
EPS Growth 5yr,0.138675
Revenue Growth 5yr,0.0674688
Dividend Growth 5yr,0.0727338
Short Int Current Month,8238712.0
Short Int Prev Month,8406714.0
Short Int Pct of Float,0.0358788
Days to Cover,5.6234
Float,223.606
Shares Outstanding,227.5489
Institutions Holding Shares,1158.0
% Held by Institutions,0.714965
FCF Growth 5yr,6.363064389739845
