,FISV
Price/Earnings (TTM),59.32428
Price/Sales (TTM),7.1252
Price/Book (MRQ),2.21253
Price/Cash Flow (TTM),28.62161
5yr Low,38.98
5yr High,125.05
5yr Avg Return,0.1948333333333333
EPS Growth 5yr,0.027516600000000002
Revenue Growth 5yr,0.1499428
Dividend Growth 5yr,
Short Int Current Month,12727160.0
Short Int Prev Month,12430951.0
Short Int Pct of Float,0.0226884
Days to Cover,3.12524
Float,562.2868
Shares Outstanding,676.3362
Institutions Holding Shares,1540.0
% Held by Institutions,0.9198909999999999
FCF Growth 5yr,0.18928067424850686
