,FISV
% Below High,0.16210000000000002
% Held by Institutions,0.9198999999999999
52-Wk Range,['73.50 - 125.05']
Annual Dividend $,
Annual Dividend %,
Ask,105.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.8
Bid,104.12
Bid Size,100.0
Closing Price,104.78
Day Change $,-2.54
Day Change %,-0.023700000000000002
Day High,108.83
Day Low,103.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.81
Ex-dividend Date,No dividend
Historical Volatility,0.438
Last (size),1.0
Last (time),4:15p ET 05/08/20
Market Cap,70.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",59.32
Prev Close,107.32
Shares Outstanding,676.3M
Short Interest,0.0227
Today's Open,106.69
Volume,8497173.0
Volume 10-day Avg,4167615.0
Volume Past Day,(Heavy Day)
