,UA
% Above Low,0.35450000000000004
% Held by Institutions,
52-Wk Range,['6.60 - 24.55']
Annual Dividend $,
Annual Dividend %,
Ask,9.35
Ask Size,300.0
B/A Ratio,2.6666666666666665
B/A Size,800x300
Beta,
Bid,8.95
Bid Size,800.0
Closing Price,8.94
Day Change $,0.33
Day Change %,0.0383
Day High,8.95
Day Low,8.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.628
Last (size),200.0
Last (time),6:30p ET 05/08/20
Market Cap,4.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",--x
Prev Close,8.61
Shares Outstanding,451.9M
Short Interest,
Today's Open,8.86
Volume,6501076.0
Volume 10-day Avg,3718349.0
Volume Past Day,(Heavy Day)
