,UA
5yr Low,6.6
5yr High,46.2
5yr Avg Return,-0.20086
EPS Growth 5yr,
Revenue Growth 5yr,0.1129651
Dividend Growth 5yr,
FCF Growth 5yr,-2.563097260418199
