,JBHT
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.3194706994328922
Growth 1yr High Est,-0.07818181818181813
Growth 1yr Consensus Est,-0.19882625880735516
Growth 2yr Low Est,0.00554242806133165
Growth 2yr High Est,0.07234893311816393
Growth 2yr Consensus Est,0.03894568058974779
Growth 5yr Low Est,0.13279994966284975
Growth 5yr High Est,0.14993108031569574
Growth 5yr Consensus Est,0.14136551498927274
Growth 5yr Actual/Est,0.15279593754739304
Growth 3yr Historic,0.12625673778362512
