,JBHT
% Below High,0.1557
% Held by Institutions,0.77
52-Wk Range,['75.29 - 122.29']
Annual Dividend $,1.08
Annual Dividend %,0.0108
Ask,111.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,103.19
Bid Size,100.0
Closing Price,103.25
Day Change $,3.15
Day Change %,0.0315
Day High,103.36
Day Low,100.69
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",4.66
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.395
Last (size),30.0
Last (time),4:00p ET 05/08/20
Market Cap,10.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.49
Prev Close,100.1
Shares Outstanding,105.5M
Short Interest,0.0403
Today's Open,100.73
Volume,485111.0
Volume 10-day Avg,746358.0
Volume Past Day,(Light)
