,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2017,Neutral,9.49,,,9.24,,9.46,,9.350000000000001,9.49,,
Year ending 12/2018,Neutral,11.12,,0.17175974710221276,11.03,0.19372294372294352,11.1,0.17336152219873147,11.065,11.12,0.17175974710221276,0.1835422329608375
Year ending 12/2019,Neutral,12.35,,0.110611510791367,12.24,0.10970081595648251,12.38,0.11531531531531547,12.31,12.35,0.110611510791367,0.11250806563589899
Year ending 12/2020,Neutral,,12.29,0.0,11.27,-0.07924836601307195,13.3,0.07431340872374803,12.29,12.29,-0.004858299595141724,-0.002467478644661958
Year ending 12/2021,Neutral,,14.29,0.0,13.3,0.18012422360248448,15.58,0.17142857142857126,14.29,14.29,0.16273393002441017,0.17577639751552787
