,TMO
Price/Earnings (TTM),36.26169
Price/Sales (TTM),5.12819
Price/Book (MRQ),4.6053
Price/Cash Flow (TTM),21.94605
5yr Low,117.1
5yr High,346.89
5yr Avg Return,0.18518333333333334
EPS Growth 5yr,0.1429795
Revenue Growth 5yr,0.08624330000000001
Dividend Growth 5yr,0.0428362
Short Int Current Month,3504345.0
Short Int Prev Month,3786538.0
Short Int Pct of Float,0.0088928
Days to Cover,2.06337
Float,394.1083
Shares Outstanding,394.9511
Institutions Holding Shares,2163.0
% Held by Institutions,0.9086279999999999
FCF Growth 5yr,0.11394610120080469
