,DVN
Price/Earnings (TTM),
Price/Sales (TTM),0.64928
Price/Book (MRQ),1.17373
Price/Cash Flow (TTM),48.38134
5yr Low,4.7
5yr High,68.1
5yr Avg Return,-0.16671666666666662
EPS Growth 5yr,
Revenue Growth 5yr,-0.2048342
Dividend Growth 5yr,-0.1792932
Short Int Current Month,20033185.0
Short Int Prev Month,14492934.0
Short Int Pct of Float,0.054128800000000005
Days to Cover,1.3707
Float,370.7351
Shares Outstanding,382.7
Institutions Holding Shares,813.0
% Held by Institutions,0.8267749999999999
FCF Growth 5yr,-2.8064886266743163
