,DVN
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.3023255813953488
Growth 2yr High Est,2.2
Growth 2yr Consensus Est,0.9488372093023256
Growth 5yr Low Est,-0.3023255813953488
Growth 5yr High Est,2.2
Growth 5yr Consensus Est,0.9488372093023256
Growth 5yr Actual/Est,-0.6489785968504704
Growth 3yr Historic,-0.08786748573935937
