,ABMD
Price/Earnings (TTM),42.5468
Price/Sales (TTM),10.08047
Price/Book (MRQ),7.95566
Price/Cash Flow (TTM),45.66137
5yr Low,59.04
5yr High,459.75
5yr Avg Return,0.27193333333333336
EPS Growth 5yr,0.1080591
Revenue Growth 5yr,0.2956395
Dividend Growth 5yr,
Short Int Current Month,3063056.0
Short Int Prev Month,3043182.0
Short Int Pct of Float,0.0693868
Days to Cover,5.82232
Float,44.09265
Shares Outstanding,45.00869
Institutions Holding Shares,665.0
% Held by Institutions,0.9925149999999999
FCF Growth 5yr,0.4597750555687202
