,SWKS
% Below High,0.1343
% Held by Institutions,0.8201999999999999
52-Wk Range,['66.29 - 128.48']
Annual Dividend $,1.76
Annual Dividend %,0.0166
Ask,111.77
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,111.06
Bid Size,200.0
Closing Price,111.22
Day Change $,5.03
Day Change %,0.047400000000000005
Day High,111.29
Day Low,107.01
Dividend Pay Date,2020-06-11 00:00:00
"EPS (TTM, GAAP)",4.66
Ex-dividend,2020-05-20 00:00:00
Ex-dividend Date,05/20/20
Historical Volatility,0.543
Last (size),1.0
Last (time),3:59p ET 05/08/20
Market Cap,18.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.89
Prev Close,106.19
Shares Outstanding,166.8M
Short Interest,0.0248
Today's Open,108.2
Volume,2124065.0
Volume 10-day Avg,2559659.0
Volume Past Day,(Below Average)
