,REGN
% Below High,0.030299999999999997
% Held by Institutions,0.6844
52-Wk Range,['271.37 - 581.00']
Annual Dividend $,
Annual Dividend %,
Ask,565.6
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,561.92
Bid Size,100.0
Closing Price,563.4
Day Change $,3.57
Day Change %,0.0064
Day High,567.83
Day Low,553.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",19.9
Ex-dividend Date,No dividend
Historical Volatility,0.385
Last (size),92.0
Last (time),4:15p ET 05/08/20
Market Cap,63.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.31
Prev Close,559.83
Shares Outstanding,112.5M
Short Interest,0.0246
Today's Open,562.0
Volume,698963.0
Volume 10-day Avg,1121331.0
Volume Past Day,(Light)
