,REGN
Price/Earnings (TTM),28.30571
Price/Sales (TTM),7.94444
Price/Book (MRQ),5.20964
Price/Cash Flow (TTM),25.41189
5yr Low,271.37
5yr High,605.93
5yr Avg Return,0.05328333333333332
EPS Growth 5yr,0.44004089999999996
Revenue Growth 5yr,0.227682
Dividend Growth 5yr,
Short Int Current Month,2010186.0
Short Int Prev Month,1776048.0
Short Int Pct of Float,0.024579399999999998
Days to Cover,1.98451
Float,84.31249
Shares Outstanding,112.5223
Institutions Holding Shares,1067.0
% Held by Institutions,0.684435
FCF Growth 5yr,0.2818699064877097
