,REGN
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.019730941704035665
Growth 1yr High Est,0.1452865064695008
Growth 1yr Consensus Est,0.08250872408676824
Growth 2yr Low Est,0.06021727384234332
Growth 2yr High Est,0.21515455084611257
Growth 2yr Consensus Est,0.13768591234422795
Growth 5yr Low Est,0.1786075647267471
Growth 5yr High Est,0.26422189358300824
Growth 5yr Consensus Est,0.22141472915487767
Growth 5yr Actual/Est,0.1777971503959429
Growth 3yr Historic,0.11990809896638166
