,AIV
Price/Earnings (TTM),11.64672
Price/Sales (TTM),6.04978
Price/Book (MRQ),3.10538
Price/Cash Flow (TTM),6.27938
5yr Low,24.53
5yr High,55.68
5yr Avg Return,0.009816666666666668
EPS Growth 5yr,0.0824316
Revenue Growth 5yr,-0.01466
Dividend Growth 5yr,0.0795052
Short Int Current Month,2936681.0
Short Int Prev Month,2230671.0
Short Int Pct of Float,0.0199061
Days to Cover,1.52286
Float,147.685
Shares Outstanding,148.9304
Institutions Holding Shares,517.0
% Held by Institutions,1.0056180000000001
FCF Growth 5yr,-8.131347988933014
