,AIV
% Above Low,0.5426
% Held by Institutions,1.0056
52-Wk Range,['24.53 - 55.68']
Annual Dividend $,1.64
Annual Dividend %,0.044199999999999996
Ask,45.78
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,32.5
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,37.84
Day Change $,0.7
Day Change %,0.018799999999999997
Day High,38.35
Day Low,37.18
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",3.19
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.52
Last (size),25100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,5.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",11.65
Prev Close,37.14
Shares Outstanding,148.9M
Short Interest,0.0199
Today's Open,37.66
Volume,1134965.0
Volume 10-day Avg,1376084.0
Volume Past Day,(Below Average)
