,IRM
% Above Low,0.17
% Held by Institutions,0.7974
52-Wk Range,['21.00 - 34.49']
Annual Dividend $,2.47
Annual Dividend %,0.1008
Ask,25.0
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.7
Bid,24.55
Bid Size,100.0
Closing Price,24.57
Day Change $,0.02
Day Change %,0.0008
Day High,25.13
Day Low,24.37
Dividend Pay Date,2020-07-02 00:00:00
"EPS (TTM, GAAP)",1.05
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.439
Last (size),58.0
Last (time),6:30p ET 05/08/20
Market Cap,7.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",23.42
Prev Close,24.55
Shares Outstanding,287.9M
Short Interest,0.16870000000000002
Today's Open,24.74
Volume,3469724.0
Volume 10-day Avg,3889496.0
Volume Past Day,(Below Average)
