,XYL,Rating Since
newConstructs,2,2020-05-08
researchTeam,reduce,2020-02-14
marketEdge opinion,avoid,2020-05-08
marketEdge,0,2020-05-08
cfra,3,2019-11-01
theStreet,hold,2020-05-06
creditSuisse,underperform,2020-03-10
ford,3,2020-04-17
