,XYL
% Above Low,0.1534
% Held by Institutions,0.9087999999999999
52-Wk Range,['54.62 - 89.34']
Annual Dividend $,1.04
Annual Dividend %,0.016399999999999998
Ask,65.17
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,60.0
Bid Size,100.0
Closing Price,63.0
Day Change $,-0.55
Day Change %,-0.0087
Day High,65.43
Day Low,62.78
Dividend Pay Date,2020-03-26 00:00:00
"EPS (TTM, GAAP)",1.99
Ex-dividend,2020-02-26 00:00:00
Ex-dividend Date,02/26/20
Historical Volatility,0.42600000000000005
Last (size),240.0
Last (time),6:30p ET 05/08/20
Market Cap,11.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",31.71
Prev Close,63.55
Shares Outstanding,179.9M
Short Interest,0.0223
Today's Open,64.78
Volume,1320235.0
Volume 10-day Avg,1445568.0
Volume Past Day,(Average)
