,XYL
Price/Earnings (TTM),31.71088
Price/Sales (TTM),2.20733
Price/Book (MRQ),4.03048
Price/Cash Flow (TTM),18.37061
5yr Low,29.9
5yr High,89.34
5yr Avg Return,0.11794999999999996
EPS Growth 5yr,0.038798
Revenue Growth 5yr,0.060343999999999995
Dividend Growth 5yr,0.13396660000000002
Short Int Current Month,3983550.0
Short Int Prev Month,4182385.0
Short Int Pct of Float,0.0223458
Days to Cover,2.95424
Float,178.1292
Shares Outstanding,179.9153
Institutions Holding Shares,997.0
% Held by Institutions,0.908822
FCF Growth 5yr,0.17822191010551583
