,BLK
% Below High,0.1353
% Held by Institutions,0.8170999999999999
52-Wk Range,['323.98 - 576.81']
Annual Dividend $,14.52
Annual Dividend %,0.0292
Ask,515.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,497.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,498.78
Day Change $,1.39
Day Change %,0.0028000000000000004
Day High,506.0
Day Low,496.62
Dividend Pay Date,2020-03-23 00:00:00
"EPS (TTM, GAAP)",26.97
Ex-dividend,2020-03-04 00:00:00
Ex-dividend Date,03/04/20
Historical Volatility,0.455
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,498.78
Market Cap,77.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.44
Prev Close,497.39
Shares Outstanding,155.1M
Short Interest,0.0121
Today's Open,505.53
Volume,450482.0
Volume 10-day Avg,563348.0
Volume Past Day,(Light)
