,FTNT
% Below High,0.0018
% Held by Institutions,0.7673000000000001
52-Wk Range,['68.87 - 137.08']
Annual Dividend $,
Annual Dividend %,
Ask,137.55
Ask Size,400.0
B/A Ratio,1.5
B/A Size,600x400
Beta,0.9
Bid,136.84
Bid Size,600.0
Closing Price,136.84
Day Change $,1.72
Day Change %,0.0127
Day High,137.08
Day Low,128.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.11
Ex-dividend Date,No dividend
Historical Volatility,0.509
Last (size),96.0
Last (time),4:15p ET 05/08/20
Market Cap,22.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",63.92
Prev Close,135.12
Shares Outstanding,161.2M
Short Interest,0.0377
Today's Open,134.23
Volume,2569128.0
Volume 10-day Avg,1767226.0
Volume Past Day,(Heavy Day)
