,FCX
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,2.4999999999999996
Growth 1yr High Est,1.5
Growth 1yr Consensus Est,1.9999999999999998
Growth 2yr Low Est,0.3357142857142855
Growth 2yr High Est,3.3833333333333333
Growth 2yr Consensus Est,1.8595238095238094
Growth 5yr Low Est,-0.10714285714285726
Growth 5yr High Est,1.4618008948545862
Growth 5yr Consensus Est,0.6773290188558645
Growth 5yr Actual/Est,-4.2719242015294645
Growth 3yr Historic,-0.17192420152946467
