,FCX
% Above Low,0.9108
% Held by Institutions,0.7298
52-Wk Range,['4.82 - 13.64']
Annual Dividend $,
Annual Dividend %,
Ask,9.3
Ask Size,2200.0
B/A Ratio,0.045454545454545456
B/A Size,100x2200
Beta,2.3
Bid,9.19
Bid Size,100.0
Closing Price,9.21
Day Change $,0.24
Day Change %,0.0268
Day High,9.29
Day Low,9.11
Dividend Pay Date,02/03/20
"EPS (TTM, GAAP)",
Ex-dividend Date,01/14/20
Historical Volatility,0.664
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,13.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,8.97
Shares Outstanding,1.5B
Short Interest,0.0394
Today's Open,9.17
Volume,20171063.0
Volume 10-day Avg,21294235.0
Volume Past Day,(Average)
