,FCX
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.47082
Price/Cash Flow (TTM),
5yr Low,3.52
5yr High,23.6
5yr Avg Return,0.03918333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.0635724
Dividend Growth 5yr,
Short Int Current Month,56768191.0
Short Int Prev Month,52421866.0
Short Int Pct of Float,0.0393945
Days to Cover,2.06871
Float,1441.728
Shares Outstanding,1451.961
Institutions Holding Shares,937.0
% Held by Institutions,0.729816
FCF Growth 5yr,-0.1616855243604255
