,ADP
Price/Earnings (TTM),25.33492
Price/Sales (TTM),4.31682
Price/Book (MRQ),11.56711
Price/Cash Flow (TTM),21.20318
5yr Low,64.29
5yr High,182.32
5yr Avg Return,0.109
EPS Growth 5yr,0.1529694
Revenue Growth 5yr,0.0674838
Dividend Growth 5yr,0.1009513
Short Int Current Month,5564475.0
Short Int Prev Month,5132026.0
Short Int Pct of Float,0.012914799999999999
Days to Cover,2.29178
Float,425.502
Shares Outstanding,429.7744
Institutions Holding Shares,2023.0
% Held by Institutions,0.766225
FCF Growth 5yr,0.05809681952928107
