,PAYC
Price/Earnings (TTM),80.97505
Price/Sales (TTM),20.42278
Price/Book (MRQ),26.13409
Price/Cash Flow (TTM),65.39501
5yr Low,22.42
5yr High,342.0
5yr Avg Return,0.4595500000000001
EPS Growth 5yr,0.9515239
Revenue Growth 5yr,0.3734663
Dividend Growth 5yr,
Short Int Current Month,3560780.0
Short Int Prev Month,3614568.0
Short Int Pct of Float,0.0722298
Days to Cover,2.88254
Float,49.09428
Shares Outstanding,58.56608
Institutions Holding Shares,707.0
% Held by Institutions,0.7572580000000001
FCF Growth 5yr,0.4429714173150794
