,PAYC
% Below High,0.2046
% Held by Institutions,0.7573000000000001
52-Wk Range,['163.42 - 342.00']
Annual Dividend $,
Annual Dividend %,
Ask,279.88
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.5
Bid,265.5
Bid Size,100.0
Closing Price,272.03
Day Change $,3.21
Day Change %,0.011899999999999999
Day High,275.94
Day Low,266.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.36
Ex-dividend Date,No dividend
Historical Volatility,0.625
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,15.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",80.98
Prev Close,268.82
Shares Outstanding,58.6M
Short Interest,0.0722
Today's Open,273.62
Volume,673111.0
Volume 10-day Avg,1011821.0
Volume Past Day,(Light)
