,CDW
% Above Low,0.4789
% Held by Institutions,0.9216
52-Wk Range,['73.39 - 146.09']
Annual Dividend $,1.52
Annual Dividend %,0.014199999999999999
Ask,110.35
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,102.79
Bid Size,100.0
Closing Price,108.54
Day Change $,1.87
Day Change %,0.0175
Day High,109.83
Day Low,107.54
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",5.12
Ex-dividend,2020-05-21 00:00:00
Ex-dividend Date,05/21/20
Historical Volatility,0.462
Last (size),1300.0
Last (time),3:59p ET 05/08/20
Market Cap,15.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.83
Prev Close,106.67
Shares Outstanding,142.3M
Short Interest,0.016200000000000003
Today's Open,108.05
Volume,583978.0
Volume 10-day Avg,920232.0
Volume Past Day,(Light)
