,CDW
Price/Earnings (TTM),20.83118
Price/Sales (TTM),0.82221
Price/Book (MRQ),17.06097
Price/Cash Flow (TTM),14.51345
5yr Low,30.4
5yr High,146.09
5yr Avg Return,0.24003333333333335
EPS Growth 5yr,0.2860144
Revenue Growth 5yr,0.08351990000000001
Dividend Growth 5yr,0.4534871
Short Int Current Month,2292731.0
Short Int Prev Month,2452033.0
Short Int Pct of Float,0.016245799999999998
Days to Cover,2.15226
Float,141.4166
Shares Outstanding,142.3181
Institutions Holding Shares,910.0
% Held by Institutions,0.921606
FCF Growth 5yr,0.4608371801698826
