,GOOGL
Price/Earnings (TTM),27.97988
Price/Sales (TTM),5.61446
Price/Book (MRQ),4.59861
Price/Cash Flow (TTM),20.0523
5yr Low,535.0
5yr High,1530.74
5yr Avg Return,0.18278333333333333
EPS Growth 5yr,0.1992015
Revenue Growth 5yr,0.1965096
Dividend Growth 5yr,
Short Int Current Month,3920310.0
Short Int Prev Month,4040716.0
Short Int Pct of Float,0.0130915
Days to Cover,1.61389
Float,616.1257
Shares Outstanding,682.6202
Institutions Holding Shares,3687.0
% Held by Institutions,0.7956740000000001
FCF Growth 5yr,0.15818432914939715
