,GOOGL,Rating Since
newConstructs,2,2020-05-08
researchTeam,hold,2020-04-20
theStreet,buy,2018-04-24
cfra,5,2019-12-14
ford,3,2019-10-11
marketEdge opinion,neutralfromavoid,2020-05-01
marketEdge,3,2020-05-01
creditSuisse,outperform,2008-10-27
