,MXIM
Price/Earnings (TTM),17.79401
Price/Sales (TTM),6.39759
Price/Book (MRQ),8.72914
Price/Cash Flow (TTM),15.43945
5yr Low,29.47
5yr High,74.94
5yr Avg Return,0.1054
EPS Growth 5yr,0.1995072
Revenue Growth 5yr,-0.0116244
Dividend Growth 5yr,0.12087429999999999
Short Int Current Month,5969910.0
Short Int Prev Month,5708021.0
Short Int Pct of Float,0.0223609
Days to Cover,2.30251
Float,264.3491
Shares Outstanding,266.6254
Institutions Holding Shares,794.0
% Held by Institutions,0.919666
FCF Growth 5yr,0.05168929596892395
