,TWTR
Price/Earnings (TTM),18.56562
Price/Sales (TTM),6.74811
Price/Book (MRQ),2.66816
Price/Cash Flow (TTM),13.02632
5yr Low,13.73
5yr High,47.79
5yr Avg Return,0.01038333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.1978066
Dividend Growth 5yr,
Short Int Current Month,44132613.0
Short Int Prev Month,36538770.0
Short Int Pct of Float,0.0584982
Days to Cover,2.24802
Float,756.4954
Shares Outstanding,784.6292
Institutions Holding Shares,1005.0
% Held by Institutions,0.683634
FCF Growth 5yr,2.902105522871259
