,RL
% Above Low,0.2049
% Held by Institutions,1.0044
52-Wk Range,['59.82 - 128.29']
Annual Dividend $,2.75
Annual Dividend %,0.0392
Ask,73.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,70.0
Bid Size,100.0
Closing Price,72.08
Day Change $,1.85
Day Change %,0.0263
Day High,72.73
Day Low,71.04
Dividend Pay Date,2020-04-10 00:00:00
"EPS (TTM, GAAP)",8.95
Ex-dividend,2020-03-26 00:00:00
Ex-dividend Date,03/26/20
Historical Volatility,0.524
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,5.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.05
Prev Close,70.23
Shares Outstanding,73.7M
Short Interest,0.10980000000000001
Today's Open,72.06
Volume,2063788.0
Volume 10-day Avg,1495134.0
Volume Past Day,(Heavy Day)
