,RL
Next Earnings Announcement,2020-05-27 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.10656934306569332
Growth 1yr High Est,0.10422535211267614
Growth 1yr Consensus Est,-0.0011719954765085916
Growth 2yr Low Est,-0.51161800486618
Growth 2yr High Est,0.10695961483184824
Growth 2yr Consensus Est,-0.2023291950171659
Growth 5yr Low Est,-0.1966192791129319
Growth 5yr High Est,0.11461061676949613
Growth 5yr Consensus Est,-0.04100433117171788
Growth 5yr Actual/Est,-0.007437652337930201
Growth 3yr Historic,0.06210337686930206
