,RL
Price/Earnings (TTM),8.05204
Price/Sales (TTM),0.83165
Price/Book (MRQ),1.70457
Price/Cash Flow (TTM),5.6589
5yr Low,59.82
5yr High,147.79
5yr Avg Return,-0.07438333333333333
EPS Growth 5yr,-0.07825929999999999
Revenue Growth 5yr,-0.0325781
Dividend Growth 5yr,0.0755632
Short Int Current Month,5308467.0
Short Int Prev Month,4374055.0
Short Int Pct of Float,0.10976409999999999
Days to Cover,3.62791
Float,48.36341
Shares Outstanding,73.74309
Institutions Holding Shares,608.0
% Held by Institutions,1.004397
FCF Growth 5yr,0.04877998671106139
