,FBHS
% Below High,0.2346
% Held by Institutions,0.8818
52-Wk Range,['33.90 - 73.28']
Annual Dividend $,0.96
Annual Dividend %,0.0178
Ask,70.0
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.6
Bid,35.55
Bid Size,300.0
Closing Price,56.09
Day Change $,2.26
Day Change %,0.042
Day High,56.2
Day Low,54.82
Dividend Pay Date,2020-06-17 00:00:00
"EPS (TTM, GAAP)",3.24
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.526
Last (size),523.0
Last (time),6:30p ET 05/08/20
Market Cap,7.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.62
Prev Close,53.83
Shares Outstanding,137.9M
Short Interest,0.0287
Today's Open,54.83
Volume,908748.0
Volume 10-day Avg,1681140.0
Volume Past Day,(Light)
