,FBHS
Price/Earnings (TTM),16.61866
Price/Sales (TTM),1.27165
Price/Book (MRQ),3.15048
Price/Cash Flow (TTM),12.20527
5yr Low,33.9
5yr High,73.62
5yr Avg Return,0.10658333333333334
EPS Growth 5yr,0.1331346
Revenue Growth 5yr,0.0750954
Dividend Growth 5yr,0.0869534
Short Int Current Month,3981808.0
Short Int Prev Month,3090934.0
Short Int Pct of Float,0.0286878
Days to Cover,2.34461
Float,136.5675
Shares Outstanding,137.9469
Institutions Holding Shares,773.0
% Held by Institutions,0.8817820000000001
FCF Growth 5yr,0.13917603211136417
