,FBHS
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.2655367231638418
Growth 1yr High Est,-0.149171270718232
Growth 1yr Consensus Est,-0.2073539969410369
Growth 2yr Low Est,-0.04622990004345945
Growth 2yr High Est,0.10723254645906588
Growth 2yr Consensus Est,0.030501323207803216
Growth 5yr Low Est,0.01555867143877701
Growth 5yr High Est,0.09242055661474119
Growth 5yr Consensus Est,0.0539896140267591
Growth 5yr Actual/Est,0.038308029503763025
Growth 3yr Historic,0.04056497394820746
