,ABBV
% Below High,0.142
% Held by Institutions,0.7329000000000001
52-Wk Range,['62.55 - 97.86']
Annual Dividend $,4.72
Annual Dividend %,0.055999999999999994
Ask,84.35
Ask Size,100.0
B/A Ratio,12.0
B/A Size,1200x100
Beta,0.8
Bid,84.21
Bid Size,1200.0
Change Since Close,0.34| |(0.40%)
Closing Price,83.96
Day Change $,-0.26
Day Change %,-0.0031
Day High,84.66
Day Low,82.45
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",5.28
Ex-dividend,2020-04-14 00:00:00
Ex-dividend Date,04/14/20
Historical Volatility,0.376
Last (size),30.0
Last (time),6:30p ET 05/08/20
Last Trade,84.3
Market Cap,124.0B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",15.95
Prev Close,84.22
Shares Outstanding,1.5B
Short Interest,0.0575
Today's Open,84.42
Volume,20189627.0
Volume 10-day Avg,10753911.0
Volume Past Day,(Heavy Day)
